Stop;Direction;From;To;PassIn;PassOut;BusIn;BusOut;BusInPercentage;BusOutPercentage;;24u_entry;24u_exit;7-9_entry;7-9_exit;16-18_entry;16-18_exit
WKZ;1;10;11;0;234,8374706;0;386,8571429;0;0,165095107;;0;40,25;0;133,5;0;73,5
P+R Uithof;1;10;11;0;234,8374706;0;386,8571429;0;0,165095107;;0;0,9375;0;3,5;0;0,5
Centraal Station Centrumzijde;1;11;12;1289,222829;0;525,3333333;0;0,90626797;0;;1249,625;0;4061,5;0;1066;0
Vaartscherijn;1;11;12;84,25758337;188,8594641;34,33333333;106,5714286;0,059229442;0,132771713;;146,0625;108,4375;478;147;161;147,5
Galgenwaard;1;11;12;36,57784128;28,94494911;14,9047619;16,33333333;0,025712643;0,020348837;;22,4375;80,5;90;152,5;13;114
Kromme Rijn;1;11;12;8,764658503;22,61587861;3,571428571;12,76190476;0,006161176;0,015899383;;2,9375;64,9375;12,5;116;2;146,5
Padualaan;1;11;12;1,043954888;358,2253908;1,142857143;202,1428571;0,000733855;0,251839108;;0,625;604,5;0;2275,5;4,5;359
Heidelberglaan;1;11;12;0,934896837;355,9469255;0,380952381;200,8571429;0,000657192;0,250237304;;0,5;361,8125;0;1265,5;3,5;250,5
UMC;1;11;12;0;155,9482973;0;88;0;0,109634552;;0,375;161,0625;0;549;2,5;161
WKZ;1;11;12;0;155,9482973;0;88;0;0,109634552;;0;40,25;0;133,5;0;73,5
P+R Uithof;1;11;12;0;155,9482973;0;88;0;0,109634552;;0;0,9375;0;3,5;0;0,5
Centraal Station Centrumzijde;1;12;13;1303,285617;0;977,6666667;0;0,916153503;0;;1249,625;0;4061,5;0;1066;0
Vaartscherijn;1;12;13;67,795482;95,08754281;50,85714286;118;0,047657296;0,06684831;;146,0625;108,4375;478;147;161;147,5
Galgenwaard;1;12;13;30,27944282;23,67595399;22,71428571;29,38095238;0,021285141;0,016644636;;22,4375;80,5;90;152,5;13;114
