Trip;Date;Departure;CS Centrumzijde;Vaartscherijn;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;UMC;WKZ;P+R Uithof
R1319;3-9-2015;21:07;0;4;3;2;0;3;0,00;0,00;0,00
R1001;4-9-2015;6:10;0;2;0;0;0;1;1,00;1,00;1,00
R1003;4-9-2015;6:30;0;1;3;0;1;4;6,67;6,67;6,67
R1005;4-9-2015;6:42;0;6;10;0;3;5;3,33;3,33;3,33
R1007;4-9-2015;6:55;0;6;3;2;3;6;4,33;4,33;4,33
R1009;4-9-2015;7:05;0;13;4;0;2;9;5,33;5,33;5,33
R1011;4-9-2015;7:14;0;6;10;0;1;10;5,67;5,67;5,67
R1013;4-9-2015;7:21;0;12;6;4;7;16;7,33;7,33;7,33
R1015;4-9-2015;7:26;0;0;0;0;0;0;0,00;0,00;0,00
R1017;4-9-2015;7:31;0;0;1;0;1;2;1,33;1,33;1,33
R1019;4-9-2015;7:36;0;8;3;3;6;23;4,33;4,33;4,33
R1021;4-9-2015;7:40;0;9;4;7;40;32;7,33;7,33;7,33
R1023;4-9-2015;7:44;0;4;5;4;23;10;3,67;3,67;3,67
R1025;4-9-2015;7:48;0;9;9;2;83;45;10,33;10,33;10,33
R1027;4-9-2015;7:52;0;5;1;2;25;3;0,33;0,33;0,33
R1029;4-9-2015;7:57;0;8;0;6;46;10;2,67;2,67;2,67
R1031;4-9-2015;8:01;0;24;4;4;105;33;4,00;4,00;4,00
R1033;4-9-2015;8:05;0;15;8;3;40;18;3,67;3,67;3,67
R1035;4-9-2015;8:09;0;10;3;4;32;48;2,67;2,67;2,67
R1037;4-9-2015;8:14;0;35;4;16;97;75;35,33;35,33;35,33
R1039;4-9-2015;8:18;0;11;0;0;1;8;46,67;46,67;46,67
R1041;4-9-2015;8:22;0;28;5;18;36;48;42,67;42,67;42,67
R1043;4-9-2015;8:26;0;26;20;19;139;173;9,33;9,33;9,33
R1045;4-9-2015;8:30;0;23;6;2;18;26;36,00;36,00;36,00
R1047;4-9-2015;8:35;0;23;4;11;43;73;36,33;36,33;36,33
R1049;4-9-2015;8:39;0;55;7;5;50;68;38,67;38,67;38,67
R1051;4-9-2015;8:43;0;1;2;8;34;57;3,33;3,33;3,33
R1053;4-9-2015;8:47;0;4;0;7;45;38;29,00;29,00;29,00
R1055;4-9-2015;8:52;0;50;5;2;85;78;6,33;6,33;6,33
R1057;4-9-2015;8:56;0;8;3;0;6;7;0,67;0,67;0,67
R1059;4-9-2015;9:00;0;100;2;0;8;0;0,67;0,67;0,67
R1061;4-9-2015;9:05;0;32;11;15;61;48;29,33;29,33;29,33
R1067;4-9-2015;9:19;0;26;3;13;55;86;18,00;18,00;18,00
R1069;4-9-2015;9:24;0;8;3;3;31;22;44,33;44,33;44,33
R1071;4-9-2015;9:28;0;21;5;6;55;67;29,33;29,33;29,33
R1073;4-9-2015;9:33;0;10;2;2;31;46;12,67;12,67;12,67
R1079;4-9-2015;9:48;0;11;2;5;18;6;12,33;12,33;12,33
R1081;4-9-2015;9:52;0;14;3;5;36;25;2,33;2,33;2,33
R1083;4-9-2015;9:57;0;0;0;0;0;0;0,00;0,00;0,00
